HITId	HITTypeId	Title	Description	Keywords	Reward	CreationTime	MaxAssignments	RequesterAnnotation	AssignmentDurationInSeconds	AutoApprovalDelayInSeconds	Expiration	NumberOfSimilarHITs	LifetimeInSeconds	AssignmentId	WorkerId	AssignmentStatus	AcceptTime	SubmitTime	AutoApprovalTime	ApprovalTime	RejectionTime	RequesterFeedback	WorkTimeInSeconds	LifetimeApprovalRate	Last30DaysApprovalRate	Last7DaysApprovalRate	Input.globalindex	Input.lemma	Input.lemmaindex	Input.lleftcontext	Input.lheadword	Input.lrightcontext	Input.gs_expert	Answer.Category	Approve	Reject
29TRI8IUB2YUWZ6GA8CB7L0GRP86IY	2IH3W5XH0JPPF9PJGTGLWP75K2BKED	Physical object or information	Recognize whether the name of a object, for instance "book", means "the physical object of the object" or "the information within the book"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.05	Sat Jul 07 13:04:20 GMT 2012	5		14400	432000	Sat Jul 14 13:04:20 GMT 2012			26QB49F9SSSHKSOI62JT9H5GTXOWSJ	ASCIU8HFKRFKR	Approved	Sat Jul 07 17:58:28 GMT 2012	Sat Jul 07 17:58:32 GMT 2012	Thu Jul 12 10:58:32 PDT 2012	Mon Jul 09 06:10:46 PDT 2012			4	100% (53/53)	100% (53/53)	100% (53/53)	-5	book	-1	I am reading a good	book	on ecomomics.	INFO	Categpory2		
29TRI8IUB2YUWZ6GA8CB7L0GRP86IY	2IH3W5XH0JPPF9PJGTGLWP75K2BKED	Physical object or information	Recognize whether the name of a object, for instance "book", means "the physical object of the object" or "the information within the book"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.05	Sat Jul 07 13:04:20 GMT 2012	5		14400	432000	Sat Jul 14 13:04:20 GMT 2012			28F5F3Q0JG5TLDABED24DF9TD6CHDL	A3E157ZN8XPUKJ	Approved	Sat Jul 07 19:39:22 GMT 2012	Sat Jul 07 19:39:31 GMT 2012	Thu Jul 12 12:39:31 PDT 2012	Mon Jul 09 06:10:47 PDT 2012			9	100% (3/3)	100% (3/3)	100% (3/3)	-5	book	-1	I am reading a good	book	on ecomomics.	INFO	Categpory2		
29TRI8IUB2YUWZ6GA8CB7L0GRP86IY	2IH3W5XH0JPPF9PJGTGLWP75K2BKED	Physical object or information	Recognize whether the name of a object, for instance "book", means "the physical object of the object" or "the information within the book"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.05	Sat Jul 07 13:04:20 GMT 2012	5		14400	432000	Sat Jul 14 13:04:20 GMT 2012			2D7DEY5COW0L3IM2QRIFPC6W88X4VO	A2I8VBHRESMG9S	Approved	Sat Jul 07 19:56:39 GMT 2012	Sat Jul 07 19:56:44 GMT 2012	Thu Jul 12 12:56:44 PDT 2012	Mon Jul 09 06:10:47 PDT 2012			5	100% (134/134)	100% (54/54)	100% (54/54)	-5	book	-1	I am reading a good	book	on ecomomics.	INFO	Categpory2		
29TRI8IUB2YUWZ6GA8CB7L0GRP86IY	2IH3W5XH0JPPF9PJGTGLWP75K2BKED	Physical object or information	Recognize whether the name of a object, for instance "book", means "the physical object of the object" or "the information within the book"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.05	Sat Jul 07 13:04:20 GMT 2012	5		14400	432000	Sat Jul 14 13:04:20 GMT 2012			2GCW4ZMAZHHREC2PI3ENZRH25V2AJ0	A1KAXCLAH6UVMS	Approved	Sat Jul 07 16:49:48 GMT 2012	Sat Jul 07 16:49:54 GMT 2012	Thu Jul 12 09:49:54 PDT 2012	Mon Jul 09 06:10:47 PDT 2012			6	100% (56/56)	100% (56/56)	100% (56/56)	-5	book	-1	I am reading a good	book	on ecomomics.	INFO	Categpory2		
29TRI8IUB2YUWZ6GA8CB7L0GRP86IY	2IH3W5XH0JPPF9PJGTGLWP75K2BKED	Physical object or information	Recognize whether the name of a object, for instance "book", means "the physical object of the object" or "the information within the book"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.05	Sat Jul 07 13:04:20 GMT 2012	5		14400	432000	Sat Jul 14 13:04:20 GMT 2012			2IEZ9O9Z6KW4MDXYZWIRPFQ1913C3U	A2GM2VIL6J238N	Approved	Sat Jul 07 17:11:15 GMT 2012	Sat Jul 07 17:11:24 GMT 2012	Thu Jul 12 10:11:24 PDT 2012	Mon Jul 09 06:10:47 PDT 2012			9	100% (23/23)	100% (18/18)	100% (18/18)	-5	book	-1	I am reading a good	book	on ecomomics.	INFO	Category1		
244HGYQ4J3NAYXYE4U6O2YIUHZIBOJ	2IH3W5XH0JPPF9PJGTGLWP75K2BKED	Physical object or information	Recognize whether the name of a object, for instance "book", means "the physical object of the object" or "the information within the book"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.05	Sat Jul 07 13:04:21 GMT 2012	5		14400	432000	Sat Jul 14 13:04:21 GMT 2012			20N66RLPHIT34MJ9DZ966NJRNGO8GV	A26L95RMC7I9TB	Approved	Sun Jul 08 00:09:17 GMT 2012	Sun Jul 08 00:09:20 GMT 2012	Thu Jul 12 17:09:20 PDT 2012	Mon Jul 09 06:10:48 PDT 2012			3	100% (7/7)	100% (7/7)	100% (7/7)	-4	book	-2	he used a large	book	as a doorstop.	ART	Category1		
244HGYQ4J3NAYXYE4U6O2YIUHZIBOJ	2IH3W5XH0JPPF9PJGTGLWP75K2BKED	Physical object or information	Recognize whether the name of a object, for instance "book", means "the physical object of the object" or "the information within the book"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.05	Sat Jul 07 13:04:21 GMT 2012	5		14400	432000	Sat Jul 14 13:04:21 GMT 2012			277B0HFL42J18PS7TMT7Q0IH0YB0LH	A2I8VBHRESMG9S	Approved	Sat Jul 07 19:23:23 GMT 2012	Sat Jul 07 19:23:27 GMT 2012	Thu Jul 12 12:23:27 PDT 2012	Mon Jul 09 06:10:48 PDT 2012			4	100% (134/134)	100% (54/54)	100% (54/54)	-4	book	-2	he used a large	book	as a doorstop.	ART	Category1		
244HGYQ4J3NAYXYE4U6O2YIUHZIBOJ	2IH3W5XH0JPPF9PJGTGLWP75K2BKED	Physical object or information	Recognize whether the name of a object, for instance "book", means "the physical object of the object" or "the information within the book"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.05	Sat Jul 07 13:04:21 GMT 2012	5		14400	432000	Sat Jul 14 13:04:21 GMT 2012			2E70OHOVR14IKBB13OTHICWBRB5658	A3O8XRFS9GCDMH	Approved	Sat Jul 07 14:59:16 GMT 2012	Sat Jul 07 14:59:24 GMT 2012	Thu Jul 12 07:59:24 PDT 2012	Mon Jul 09 06:10:48 PDT 2012			8	100% (5/5)	100% (5/5)	100% (5/5)	-4	book	-2	he used a large	book	as a doorstop.	ART	Category1		
244HGYQ4J3NAYXYE4U6O2YIUHZIBOJ	2IH3W5XH0JPPF9PJGTGLWP75K2BKED	Physical object or information	Recognize whether the name of a object, for instance "book", means "the physical object of the object" or "the information within the book"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.05	Sat Jul 07 13:04:21 GMT 2012	5		14400	432000	Sat Jul 14 13:04:21 GMT 2012			2V7395SW6NG12JQMG2AB2F1GK6SUG7	A1KAXCLAH6UVMS	Approved	Sat Jul 07 19:19:33 GMT 2012	Sat Jul 07 19:19:42 GMT 2012	Thu Jul 12 12:19:42 PDT 2012	Mon Jul 09 06:10:49 PDT 2012			9	100% (56/56)	100% (56/56)	100% (56/56)	-4	book	-2	he used a large	book	as a doorstop.	ART	Category1		
244HGYQ4J3NAYXYE4U6O2YIUHZIBOJ	2IH3W5XH0JPPF9PJGTGLWP75K2BKED	Physical object or information	Recognize whether the name of a object, for instance "book", means "the physical object of the object" or "the information within the book"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.05	Sat Jul 07 13:04:21 GMT 2012	5		14400	432000	Sat Jul 14 13:04:21 GMT 2012			2YC5UFJ51Y7Q1FMEG5J1GSTN9TLC9J	ASCIU8HFKRFKR	Approved	Sat Jul 07 18:23:23 GMT 2012	Sat Jul 07 18:23:29 GMT 2012	Thu Jul 12 11:23:29 PDT 2012	Mon Jul 09 06:10:49 PDT 2012			6	100% (53/53)	100% (53/53)	100% (53/53)	-4	book	-2	he used a large	book	as a doorstop.	ART	Category1		
